"","Id","Label","Interval","Weight","Dept","Orientation"
"264","KltleWgAAAAJ","MATTHEW ALAN TURK ",0,10,"CS","CS"
"265","bCTAqq4AAAAJ","TEOFILO F GONZALEZ ",0,10,"CS","CS"
"266","eq4egiwAAAAJ","TEVFIK BULTAN ",0,10,"CS","CS"
"267","t_DFZvgAAAAJ","XIA ZHOU ",0,10,"CS","CS"
"268","XZV2eogAAAAJ","XIFENG YAN ",0,7,"CS","CS"
"269","VxWLGyoAAAAJ","WILLIAM K ROBERTSON ",0,2,"CS","CS"
"270","AHh8JssAAAAJ","ENGIN KIRDA ",0,2,"CS","CS"
"271","2FbkAzYAAAAJ","MANUELA M VELOSO ",0,2,"CS","CS"
"272","nhpEPFgAAAAJ","BRENNA D ARGALL ",0,1,"CS","CS"
"273","f28F1YUAAAAJ","JOYDEEP BISWAS ",0,1,"CS","CS"
"274","2ftJYXMAAAAJ","ROY HAROLD CAMPBELL ",0,5,"CS","CS"
"275","CUO0vDcAAAAJ","KLARA NAHRSTEDT ",0,7,"CS","CS"
"276","eiqD0hoAAAAJ","BRIAN P BAILEY ",0,1,"CS","CS"
"277","xyHrRFUAAAAJ","KARRIE G KARAHALIOS ",0,6,"CS","CS"
"278","dACRUjgAAAAJ","ROBIN H KRAVETS ",0,4,"CS","CS"
"279","MjmBY5AAAAAJ","JOHN C HART ",0,5,"CS","XD"
"280","2hg5lYIAAAAJ","TAPAN K SARKAR ",0,1,"CS","CS"
"281","n0uRPLgAAAAJ","YU ZHANG ",0,9,"CS","XD"
"282","2i7uayYAAAAJ","DAVI GEIGER ",0,2,"CS","XD"
"283","2JMaTKsAAAAJ","BEN LANGMEAD ",0,2,"CS","CS"
"284","rcs6IKwAAAAJ","MICHAEL C SCHATZ ",0,4,"CS","CS"
"285","sUVeH-4AAAAJ","STEVEN L SALZBERG ",0,4,"CS","XD"
"286","kqPhodQAAAAJ","ANDREAS HAEBERLEN ",0,2,"CS","CS"
"287","2kXsgI4AAAAJ","CHITA RANJAN DAS ",0,4,"CS","CS"
"288","j67v24EAAAAJ","MAHMUT TAYLAN KANDEMIR ",0,5,"CS","XD"
"289","h0gtwxIAAAAJ","REETUPARNA DAS ",0,1,"CS","CS"
"290","zD5ZfacAAAAJ","GUOHONG CAO ",0,2,"CS","CS"
"291","sc9YppcAAAAJ","EUN JUNG KIM ",0,2,"CS","CS"
"292","2LAmkegAAAAJ","MONICA DUS ",0,1,"BIO","BIO"
"293","dqVEA2sAAAAJ","JUSTIN BLAU ",0,1,"BIO","BIO"
"294","2lpCLIYAAAAJ","JORGE M SOBERON ",0,1,"BIO","BIO"
"295","3UyNayMAAAAJ","MARK T HOLDER ",0,2,"BIO","BIO"
"296","2mjUsP8AAAAJ","SRINIVASAN PARTHASARATHY ",0,2,"CS","CS"
"297","JN4tlsMAAAAJ","P SADAYAPPAN ",0,2,"CS","CS"
"298","cLjMQqsAAAAJ","MADHAV V MARATHE ",0,4,"CS","CS"
"299","2nGk3QQAAAAJ","MARGARET A PALMER ",0,2,"BIO","BIO"
"300","hxHYAA8AAAAJ","EMILY S BERNHARDT ",0,4,"BIO","BIO"
"301","Jq3hCsYAAAAJ","PETER S WHITE ",0,2,"BIO","BIO"
"302","2Nz2U0kAAAAJ","THOMAS E SHRIMPTON ",0,1,"CS","CS"
"303","xd_8IiIAAAAJ","STEFANO TESSARO ",0,2,"CS","CS"
"304","2oclnIwAAAAJ","MATT BISHOP ",0,2,"CS","CS"
"305","oFiuaXEAAAAJ","LORI A CLARKE ",0,1,"CS","CS"
"306","67kghxAAAAAJ","DAVID ANTHONY WAGNER ",0,1,"CS","CS"
"307","2OJOZTUAAAAJ","BOLESLAW K SZYMANSKI ",0,4,"CS","CS"
"308","AeEgcugAAAAJ","CARLOS A VARELA ",0,1,"CS","CS"
"309","Jk3gxBEAAAAJ","SIBEL ADALI ",0,1,"CS","CS"
"310","2oSSsLYAAAAJ","RICK L STEVENS ",0,3,"CS","XD"
"311","O4rYanMAAAAJ","C TITUS BROWN ",0,4,"BIO","XD"
"312","9fGoifYAAAAJ","JACK A GILBERT ",0,9,"BIO","XD"
"313","up7dycYAAAAJ","RUTH EMILY LEY ",0,8,"BIO","XD"
"314","2oy3OXYAAAAJ","STUART J RUSSELL ",0,3,"CS","CS"
"315","dCj_AtQAAAAJ","KEITH MCGREGGOR ",0,4,"CS","CS"
"316","Yg_QjxcAAAAJ","MARK OWEN RIEDL ",0,2,"CS","CS"
"317","2pW1g5IAAAAJ","MIHIR M BELLARE ",0,1,"CS","CS"
"318","gUEkPQEAAAAJ","PHILLIP WALDER ROGAWAY ",0,1,"CS","CS"
"319","2PxFftgAAAAJ","JOHN THOMAS STASKO ",0,1,"CS","CS"
"320","G6kA1CMAAAAJ","HAESUN PARK ",0,2,"CS","CS"
"321","2s9_ZWgAAAAJ","SARIEL HAR-PELED ",0,3,"CS","CS"
"322","2SF6AXQAAAAJ","CARLO M CROCE ",0,3,"BIO","BIO"
"323","60ZCtZMAAAAJ","JIANHUA YU ",0,2,"BIO","BIO"
"324","Nf4vo2UAAAAJ","LAI CHU WU ",0,2,"BIO","BIO"
