"","google_id","year","citations","coauthor_codes"
"2439","kYK4tvsAAAAJ",1990,50,"kYK4tvsAAAAJ,1"
"2440","kYK4tvsAAAAJ",1990,85,"1,kYK4tvsAAAAJ,1,uT9_8hcAAAAJ"
"2441","KZFo7ZkAAAAJ",1990,143,"KZFo7ZkAAAAJ"
"2442","KZFo7ZkAAAAJ",1990,42,"KZFo7ZkAAAAJ"
"2443","KZFo7ZkAAAAJ",1990,183,"KZFo7ZkAAAAJ"
"2444","KZFo7ZkAAAAJ",1990,447,"KZFo7ZkAAAAJ,1"
"2445","KZFo7ZkAAAAJ",1990,33,"1,KZFo7ZkAAAAJ,1"
"2446","kzoVUPYAAAAJ",1990,15,"kzoVUPYAAAAJ,1,2"
"2447","kzoVUPYAAAAJ",1990,27,"kzoVUPYAAAAJ,1,2"
"2448","L3KXa3cAAAAJ",1990,12,"L3KXa3cAAAAJ,2"
"2449","L3Z66_gAAAAJ",1990,792,"L3Z66_gAAAAJ,2,0"
"2450","l5mmRVoAAAAJ",1990,189,"0,l5mmRVoAAAAJ,01EOkNEAAAAJ,0"
"2451","l5UcSXkAAAAJ",1990,20,"0,0,0,0,l5UcSXkAAAAJ,0,0"
"2452","L9cC5tIAAAAJ",1990,256,"2,L9cC5tIAAAAJ,OfcXtoIAAAAJ"
"2453","L9cC5tIAAAAJ",1990,83,"0,0,0,0,L9cC5tIAAAAJ"
"2454","L9cC5tIAAAAJ",1990,181,"2,2,2,L9cC5tIAAAAJ,OfcXtoIAAAAJ,2"
"2455","LAPAOIUAAAAJ",1990,112,"2,2,0,LAPAOIUAAAAJ,0,0"
"2456","LAPAOIUAAAAJ",1990,139,"0,2,LAPAOIUAAAAJ"
"2457","LAPAOIUAAAAJ",1990,16,"2,LAPAOIUAAAAJ,0"
"2458","LAv0HTEAAAAJ",1990,57,"1,1,LAv0HTEAAAAJ,1"
"2459","LAv0HTEAAAAJ",1990,28,"LAv0HTEAAAAJ,1"
"2460","LAv0HTEAAAAJ",1990,104,"1,LAv0HTEAAAAJ"
"2461","LAv0HTEAAAAJ",1990,182,"LAv0HTEAAAAJ,ugFNit4AAAAJ"
"2462","LAv0HTEAAAAJ",1990,167,"LAv0HTEAAAAJ"
"2463","LAv0HTEAAAAJ",1990,388,"LAv0HTEAAAAJ,1"
